_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
68bd1507dcd5c426fec33034,,111.2,100,111.2,85.01,139;0;0;0,time,15,-1,20,15,0,86.1,false,false,english,,normal,false,false,false,,1757222151000
68bd148cdcd5c426fec32cfb,,102.39,98.5,106.39,81.64,128;1;0;0,time,15,-1,1,15,0,8.59,false,false,english,,normal,false,false,false,,1757222028000
68bd1471dcd5c426fec32c49,,100.8,97.73,105.6,82.79,126;2;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1757222001000
68bd145adcd5c426fec32bbb,,115.88,98,119.87,84.51,145;1;1;0,time,15,-1,0,15.02,0,0,false,false,english,,normal,false,false,false,,1757221978000
68bc3e3bdcd5c426febdbecb,,109.6,98.56,109.6,82.61,137;0;0;0,time,15,-1,4,15,0,17.12,false,false,english,,normal,false,false,false,,1757167163000
68bc3e02dcd5c426febdbc92,,118.38,100,118.38,84.36,148;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1757167106000
68bb2551dcd5c426feb5e146,,107.99,98.54,107.99,77.08,135;0;0;0,time,15,-1,1,15,0,0.17,false,false,english,,normal,false,false,false,,1757095249000
68bb1d45dcd5c426feb56f76,true,113.99,98.79,113.99,79.24,570;0;0;0,time,60,-1,5,60,0,75.88,false,false,english,,normal,false,false,false,,1757093189000
68bb19addcd5c426feb53de4,,103.96,98.31,104.76,81,520;1;0;1,time,60,-1,1,60.02,0,16.28,false,false,english,,normal,false,false,false,,1757092269000
68bb1954dcd5c426feb538be,,101,96.66,104.2,74.01,505;4;0;0,time,60,-1,3,60,0,64.33,false,false,english,,normal,false,false,false,,1757092180000
68bb18bbdcd5c426feb5308a,true,104.49,98.22,104.49,79.61,1045;0;0;0,time,120,-1,1,120.01,0,0.88,false,false,english,,normal,false,false,false,,1757092027000
68bb17cddcd5c426feb5237e,true,119.2,100,119.2,90.65,298;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1757091789000
68bb1784dcd5c426feb51f58,true,114.33,99.31,114.33,84.64,286;0;0;0,time,30,-1,0,30.02,0,0,false,false,english,,normal,false,false,false,,1757091716000
68bb1720dcd5c426feb51939,,107.18,98.19,109.58,76.96,268;2;1;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1757091616000
68bb16fddcd5c426feb5170b,,110,99.28,110,78.76,275;0;0;0,time,30,-1,0,30,0,0,false,false,english,,normal,false,false,false,,1757091581000
68bb16dbdcd5c426feb5151d,,104.37,97.05,104.37,74.04,261;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,,normal,false,false,false,,1757091547000
68bb162edcd5c426feb50b6d,,117.47,100,117.47,73.63,52;0;0;0,words,10,-1,6,5.31,0,16.87,false,false,english,,normal,false,false,false,,1757091374000
68bb1610dcd5c426feb509e4,,117.31,100,117.31,76.06,43;0;0;0,words,10,-1,2,4.4,0,2.95,false,false,english,,normal,false,false,false,,1757091344000
68bb1607dcd5c426feb50970,,122.71,100,122.71,58.6,52;0;0;0,words,10,-1,2,5.09,0,3.35,false,false,english,,normal,false,false,false,,1757091335000
68bb15fadcd5c426feb508da,,125.8,100,125.8,54.5,42;0;0;0,words,10,-1,2,4.01,0,4.2,false,false,english,,normal,false,false,false,,1757091322000
68bb15ecdcd5c426feb50822,,131.78,100,131.78,55.05,45;0;0;0,words,10,-1,1,4.1,0,4.96,false,false,english,,normal,false,false,false,,1757091308000
68bb15e1dcd5c426feb5078b,,127.49,100,127.49,87.09,52;0;0;0,words,10,-1,0,4.89,0,0,false,false,english,,normal,false,false,false,,1757091297000
68bb15d9dcd5c426feb50714,,137.91,100,137.91,91.57,54;0;0;0,words,10,-1,6,4.7,0,13.29,false,false,english,,normal,false,false,false,,1757091289000
68bb15bedcd5c426feb505b1,,128.72,95,146.05,93.64,52;2;0;0,words,10,-1,6,4.85,0,12.53,false,false,english,,normal,false,false,false,,1757091262000
68bb1380dcd5c426feb4e66a,true,143.45,100,143.45,75.69,53;0;0;0,words,10,-1,9,4.43,0,19.7,false,false,english,,normal,false,false,false,,1757090688000
68bb135ddcd5c426feb4e45f,,129.44,100,129.44,84.11,50;0;0;0,words,10,-1,1,4.64,0,1.96,false,false,english,,normal,false,false,false,,1757090653000
68bb134cdcd5c426feb4e37b,,103.2,97.06,107.2,76.36,129;1;0;0,time,15,-1,1,15,0,8.96,false,false,english,,normal,false,false,false,,1757090636000
68bb1331dcd5c426feb4e21e,,101.6,97.73,105.6,80.89,127;2;0;0,time,15,-1,4,15,0,12.65,false,false,english,,normal,false,false,false,,1757090609000
68bb1310dcd5c426feb4e040,,107.19,99.26,107.19,82.79,134;0;0;0,time,15,-1,1,15,0,14.58,false,false,english,,normal,false,false,false,,1757090576000
68bb12eedcd5c426feb4de98,,111.99,97.9,111.99,86.26,140;0;0;0,time,15,-1,2,15,0,13.62,false,false,english,,normal,false,false,false,,1757090542000
68bb12a6dcd5c426feb4dae7,,122.21,100,122.21,89.75,153;0;0;0,time,15,-1,1,15.02,0,7.14,false,false,english,,normal,false,false,false,,1757090470000
68bb128ddcd5c426feb4d983,,104.75,95.65,104.75,68.7,131;0;0;0,time,15,-1,1,15.01,0,12.93,false,false,english,,normal,false,false,false,,1757090445000
68bb124fdcd5c426feb4d638,true,125.46,100,125.46,87.49,157;0;0;0,time,15,-1,4,15.02,0,9.4,false,false,english,,normal,false,false,false,,1757090383000
68bb1218dcd5c426feb4d30a,,96.59,96.07,97.79,71.65,483;0;0;1,time,60,-1,1,60.01,0,0.81,false,false,english,,normal,false,false,false,,1757090328000
68babe89dcd5c426feb09ac1,,108.8,98.59,113.6,85.13,136;0;1;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1757068937000
68babe78dcd5c426feb09a34,,95.98,96.83,98.38,75.1,120;0;0;1,time,15,-1,1,15,0,1.12,false,false,english,,normal,false,false,false,,1757068920000
68babe63dcd5c426feb09990,,108.61,98.55,108.61,80.08,136;0;0;0,time,15,-1,9,15.03,0,43.23,false,false,english,,normal,false,false,false,,1757068899000
68babe18dcd5c426feb09726,,102.4,94.29,111.99,76.97,128;5;2;0,time,15,-1,5,15,0,41.35,false,false,english,,normal,false,false,false,,1757068824000
68babdd5dcd5c426feb094d6,,110.39,99.29,112.79,82.71,138;0;0;1,time,15,-1,7,15,0,31.93,false,false,english,,normal,false,false,false,,1757068757000
68babd44dcd5c426feb09009,true,175.91,100,175.91,74.72,244;0;0;0,zen,zen,-1,1,16.65,0,14.2,false,false,english,,normal,false,false,false,,1757068612000
68babc36dcd5c426feb086a1,true,108.39,99.45,108.39,82.44,542;0;0;0,time,60,-1,10,60.01,0,96.41,false,false,english,,normal,false,false,false,,1757068342000
68babb0ddcd5c426feb07d01,true,125.15,100,125.15,77.55,134;0;0;0,words,25,-1,0,12.85,0,0,false,false,english,,normal,false,false,false,,1757068045000
68babacadcd5c426feb07b08,true,125.93,100,125.93,85.6,269;0;0;0,words,50,-1,1,25.63,0,1.88,false,false,english,,normal,false,false,false,,1757067978000
68babaaadcd5c426feb079fe,,101.55,97.96,101.55,74.45,240;0;0;0,words,50,-1,1,28.36,0,2.14,false,false,english,,normal,false,false,false,,1757067946000
68baba5ddcd5c426feb07792,true,107.8,99.45,107.8,82.58,539;0;0;0,time,60,-1,0,60,0,0,false,false,english,,normal,false,false,false,,1757067869000
68bab93ddcd5c426feb06d9f,true,104,96.84,104,71.28,520;0;0;0,time,60,-1,2,60,0,2.39,false,false,english,,normal,false,false,false,,1757067581000
68bab8eedcd5c426feb06ab0,,110.68,100,110.68,79.6,124;0;0;0,words,25,-1,0,13.44,0,0,false,false,english,,normal,false,false,false,,1757067502000
68bab8dcdcd5c426feb06a0a,,106.07,99.3,106.07,82.44,140;0;0;0,words,25,-1,0,15.84,0,0,false,false,english,,normal,false,false,false,,1757067484000
68bab8c7dcd5c426feb06942,true,117,97.74,121.61,73.69,127;2;0;0,words,25,-1,0,13.03,0,0,false,false,english,,normal,false,false,false,,1757067463000
68bab8a4dcd5c426feb067dc,,107.99,97.83,109.59,79.68,135;2;0;0,time,15,-1,1,15,0,10.47,false,false,english,,normal,false,false,false,,1757067428000
68b60087eff67c4fdc70439f,true,111.97,99.29,111.97,84.81,280;0;0;0,time,30,-1,4,30.01,0,26.2,false,false,english,,normal,false,false,false,,1756758151000
68b6002deff67c4fdc70411e,,102.8,98.47,102.8,77.76,257;0;0;0,time,30,-1,1,30,0,26.12,false,false,english,,normal,false,false,false,,1756758061000
